epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,691.652,1.4186,2.28038,1.63261,0.55917,0.34074,0.36422,0.18973,1.75196,2.27525,2.06383,0.000237764,0.000237764,0.000237764
2,1369.09,1.42711,1.99928,1.64973,0.55504,0.391,0.42535,0.25113,1.62789,1.91521,1.9025,0.000444364,0.000444364,0.000444364
3,2035.09,1.35007,1.7958,1.59761,0.62556,0.42356,0.45585,0.26966,1.58061,1.84865,1.86099,0.000619547,0.000619547,0.000619547
4,2700.46,1.30835,1.67444,1.55711,0.68972,0.5076,0.53862,0.3334,1.4595,1.5584,1.73622,0.000572628,0.000572628,0.000572628
5,3365.61,1.23924,1.47935,1.48951,0.64882,0.53976,0.57343,0.36485,1.38516,1.42892,1.67763,0.000525504,0.000525504,0.000525504
6,4029.66,1.22922,1.24431,1.55023,0.73031,0.54838,0.60677,0.39751,1.30292,1.32726,1.61042,0.00047838,0.00047838,0.00047838
7,4692.08,1.16822,1.10728,1.49152,0.69164,0.59909,0.63716,0.41696,1.30355,1.25215,1.58954,0.000431256,0.000431256,0.000431256
8,5354.48,1.11193,1.01057,1.44282,0.72305,0.62383,0.65695,0.44258,1.25079,1.1875,1.55855,0.000384132,0.000384132,0.000384132
9,6017.25,1.06469,0.91552,1.40309,0.73138,0.64273,0.68713,0.46914,1.21695,1.07336,1.52043,0.000337008,0.000337008,0.000337008
10,6679.41,1.02376,0.84933,1.3648,0.74866,0.64064,0.68967,0.47442,1.19485,1.07628,1.5045,0.000289884,0.000289884,0.000289884
11,7340.86,0.97756,0.77081,1.33154,0.77348,0.66766,0.71159,0.4887,1.17663,1.01581,1.50437,0.00024276,0.00024276,0.00024276
12,8002.62,0.9367,0.70326,1.29875,0.76314,0.67592,0.7071,0.49432,1.16135,1.02216,1.48291,0.000195636,0.000195636,0.000195636
13,8665.04,0.89011,0.64477,1.26003,0.78142,0.6857,0.7211,0.50356,1.15312,1.00915,1.50098,0.000148512,0.000148512,0.000148512
14,9332.81,0.85094,0.59254,1.23081,0.76591,0.68861,0.72198,0.50791,1.14923,0.97925,1.49927,0.000101388,0.000101388,0.000101388
15,9993.73,0.82092,0.54819,1.20363,0.78157,0.70498,0.73496,0.51543,1.14133,0.9633,1.4844,5.4264e-05,5.4264e-05,5.4264e-05
