epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,815.588,1.37557,2.25916,1.6459,0.53664,0.33775,0.34656,0.18845,1.72425,2.36362,2.0558,0.000237764,0.000237764,0.000237764
2,1612.44,1.38669,1.93141,1.66132,0.55878,0.47183,0.48194,0.29188,1.4943,1.74094,1.8141,0.000444364,0.000444364,0.000444364
3,2396.31,1.31798,1.73988,1.60688,0.67337,0.42233,0.48567,0.29259,1.52946,1.7852,1.85551,0.000619547,0.000619547,0.000619547
4,3179.18,1.2794,1.6131,1.56708,0.68437,0.52773,0.57176,0.3565,1.40896,1.42371,1.76823,0.000572628,0.000572628,0.000572628
5,3960.54,1.21148,1.42755,1.50375,0.65373,0.55677,0.59076,0.38398,1.34398,1.39366,1.68241,0.000525504,0.000525504,0.000525504
6,4742.32,1.18833,1.21051,1.54517,0.74448,0.56504,0.62335,0.40953,1.30097,1.28927,1.6352,0.00047838,0.00047838,0.00047838
7,5521.11,1.12769,1.06893,1.48835,0.7392,0.59381,0.64982,0.43209,1.26023,1.16468,1.59673,0.000431256,0.000431256,0.000431256
8,6298.89,1.07979,0.97913,1.44399,0.73173,0.61506,0.6625,0.44778,1.22961,1.15505,1.58223,0.000384132,0.000384132,0.000384132
9,7076.63,1.03673,0.88495,1.40435,0.73531,0.63946,0.67666,0.46647,1.22068,1.15418,1.5703,0.000337008,0.000337008,0.000337008
10,7855.03,1.00013,0.81931,1.37318,0.73599,0.66965,0.7026,0.48434,1.18774,1.08248,1.54282,0.000289884,0.000289884,0.000289884
11,8633.75,0.95615,0.74578,1.33984,0.7519,0.67524,0.71139,0.49168,1.16255,1.04478,1.51477,0.00024276,0.00024276,0.00024276
12,9412.12,0.91146,0.68521,1.30203,0.7836,0.67022,0.72347,0.50523,1.16714,1.00369,1.52291,0.000195636,0.000195636,0.000195636
13,10190.2,0.87109,0.63065,1.26581,0.78367,0.68243,0.73143,0.51495,1.14246,0.97496,1.5047,0.000148512,0.000148512,0.000148512
14,10968.1,0.83495,0.57539,1.23747,0.77152,0.69432,0.73466,0.51631,1.14963,0.97559,1.5117,0.000101388,0.000101388,0.000101388
15,11746.4,0.80499,0.5291,1.21182,0.81498,0.68371,0.74165,0.52136,1.13986,0.95541,1.51081,5.4264e-05,5.4264e-05,5.4264e-05
